,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
85,3.86143710629,34.0,2200.0,2250,0.0,4.45675812368,2.0,750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
86,3.86143710629,34.0,2200.0,2250,0.0,4.45675812368,2.0,750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
88,3.86143710629,33.3991698374,2150.0,2150,0.0,4.45675812368,2.0,745.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
89,4.0,35.0,2350.0,2350,6.0,4.5,3.0,800.0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
90,3.86143710629,33.0,2140.0,2180,4.0,4.25,2.0,735.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
91,3.87,34.0,2237.40362087,2250,0.0,4.45675812368,0.0,757.780283204,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
93,4.0,33.3991698374,2330.0,2330,6.0,4.33333333333,4.0,772.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
95,3.98,33.0,2237.40362087,2180,6.0,3.5,2.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
96,3.84,33.3991698374,2240.0,2240,1.0,5.0,3.0,736.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
97,4.0,33.3991698374,2290.0,2290,6.0,4.33333333333,2.0,785.0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
98,4.0,33.3991698374,2400.0,2400,5.0,4.45675812368,3.0,793.333333333,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
99,3.9,33.3991698374,2310.0,2310,1.0,5.0,4.0,767.5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
