,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
2716,3.8,35.0,2237.40362087,2330,3.0,4.33333333333,1.0,770.0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2717,3.02,33.0,2237.40362087,2180,3.0,4.0,2.0,725.0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2718,3.91,35.0,2237.40362087,2330,0.0,4.45675812368,3.0,773.333333333,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2719,3.91,35.0,2237.40362087,2330,0.0,4.45675812368,3.0,773.333333333,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2720,3.76,34.0,2237.40362087,2250,2.0,2.0,0.0,757.780283204,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2721,4.0,34.0,2237.40362087,2250,9.0,4.77777777778,2.0,790.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2722,3.98,32.0,2237.40362087,2120,2.0,4.0,0.0,757.780283204,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2725,4.0,33.3991698374,2390.0,2390,7.0,4.28571428571,2.0,745.0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2726,4.0,33.3991698374,2280.0,2280,4.0,4.5,3.0,676.666666667,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2727,4.0,33.3991698374,2110.0,2110,2.0,4.45675812368,3.0,736.666666667,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2728,3.99,35.0,2280.0,2330,1.0,5.0,2.0,790.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2729,3.917,33.3991698374,2240.0,2240,7.0,3.85714285714,3.0,773.333333333,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2733,3.95,35.0,2237.40362087,2330,1.0,5.0,2.0,785.0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2734,3.72,28.0,2237.40362087,1880,6.0,4.33333333333,2.0,745.0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2735,3.85,33.3991698374,2020.0,2020,6.0,3.83333333333,2.0,645.0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2736,4.0,34.0,2237.40362087,2250,5.0,4.8,3.0,690.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2737,3.944,33.3991698374,2320.0,2320,7.0,4.28571428571,3.0,746.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2738,3.85,32.0,2237.40362087,2120,3.0,4.33333333333,2.0,730.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2740,3.92,35.0,2237.40362087,2330,1.0,5.0,1.0,800.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2744,4.0,33.3991698374,2360.0,2360,1.0,5.0,2.0,770.0,1,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2745,3.86143710629,33.3991698374,2260.0,2260,0.0,4.45675812368,1.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2746,4.0,33.3991698374,2130.0,2130,2.0,4.5,3.0,630.0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2748,4.0,35.0,2180.0,2330,1.0,5.0,3.0,776.666666667,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2749,4.0,33.0,2340.0,2340,9.0,4.77777777778,3.0,800.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
