,act,gpa,ap,ib,sat1,sat2,income,rank,gender,ethnicity,decision,state,country,urm,first_generation,editor-in-chief,founder,president,captain,siemens,intel,presidential_scholar,national_merit,ap_scholar,aime,imo,national_achievement
3508,31,4.0,"[5, 5]",0,1950,"[800, 780]",middle,0.0,F,asian,R,ca,US,,,,,,,,,,,,,,
3509,34,3.78,"[7, 3, 5, 4]",0,0,[],middle,0.0498687664042,F,indian,D,,,,,,,,,,,,True,True,,,
3510,0,3.8,"[4, 5]",0,2240,"[800, 740]",upper-middle,0.0,M,caucasian,A,ca,US,,,,,,,,,,,,,,
3511,30,4.0,"[5, 4, 5, 4]",0,0,"[710, 720]",N/A,0.02,F,caucasian,A,il,US,,,,,,True,,,,,,,,
3512,0,3.85,"[5, 4, 4]",0,0,"[750, 800, 690]",upper-middle,0.0,F,asian,A,in,US,,,,,,,,,,True,True,,,
3513,33,4.0,"[5, 5, 4]",0,0,[],N/A,0.0,F,caucasian,A,md,US,,,,,,,,,,,,,,
3514,31,3.85,"[5, 5, 5, 5, 5]",[7],0,[800],upper,0.0,M,caucasian,A,tx,US,,,,,True,,,,,,True,,,
3515,0,3.8,"[5, 4, 4]",0,2150,"[740, 730]",N/A,0.0,F,asian,A,ny,US,,,,,,,,,,,,,,
3516,0,3.7,0,0,0,0,N/A,0.0,M,caucasian,D,ny,US,,,,,,,,,,,,,,
3517,0,3.8,[4],0,1790,"[600, 640]",middle,0.0988023952096,F,african,D,ny,US,True,,,,True,,,,,,,,,
3518,32,3.75,"[5, 5, 4]",0,2140,"[720, 750, 760]",lower,0.0,M,hispanic,A,ca,US,True,,,,True,,,,,,True,,,
3519,0,3.93,"[5, 5, 5]","[6, 6]",2150,"[710, 710]",N/A,0.0,F,asian,A,,,,,,,True,,,,,,True,,,
3520,0,3.87,"[5, 4]",0,2190,"[740, 740]",middle,0.0,M,asian,R,md,US,,,,,,,,,,,,,,
3521,0,3.87,"[5, 5]",0,2040,"[710, 670]",lower-middle,0.0512820512821,F,caucasian,D,ct,US,,True,,True,True,True,,,,,,,,
3522,33,4.0,0,0,0,"[750, 650]",upper-middle,0.05,M,hispanic,A,ca,US,True,,,,,,,,,,,,,
3523,35,3.7,"[5, 5, 4, 4]",0,2240,"[760, 730, 730]",N/A,0.0,M,caucasian,A,ny,US,,,,,,,,,,,,,,
3524,0,4.0,"[5, 4]","[5, 5, 5]",2080,"[690, 690]",upper-middle,0.0,M,caucasian,A,va,US,,,,True,True,True,,,,,,,,
